Country,GDP,CHE_2020,CHE_2019,Cum_cases,Cum_cases_100K,Cum_deaths,Cum_deaths_100K,Lexp_Avg,Smoking_prev,Alcohol
Afghanistan,1883.120964,80.29,74.23,225786,580.004,7946,20.412,62.1,7.8,24.4
Albania,29206.92036,-,-,334090,11609.215,3604,125.235,76.65,20.1,13.8
Algeria,19522.1696,214.85,250.56,-,-,-,-,76.45,15.1,25.8
Argentina,54577.38948,863.71,958.52,10044957,22225.434,130472,288.682,75.4,22.5,14.6
Armenia,25707.01597,551.54,549.47,449465,15168.056,8751,295.319,72,23.9,21.2
Austria,256115.3392,5585.09,5262.05,6081287,68320.9,22534,253.161,81.3,22.1,14.4
Azerbaijan,26920.20619,191.23,191.76,832438,8210.116,10302,101.606,69.45,19.1,3.8
Bahrain,131730.254,1110,1024.39,696614,40939.365,1536,90.269,78.9,13.6,20.8
Bangladesh,11465.02499,50.66,47.67,2045602,1242.097,29477,17.899,72.45,16.3,0.9
Belarus,35135.25902,408.09,390.25,994037,10519.666,7118,75.328,65.85,23.6,15.7
Belgium,240555.81,5009.46,4983.66,4812396,41765.425,34339,298.018,81.95,20.3,15.4
Bolivia,16880.67066,241.12,239.18,1207823,10347.133,22399,191.887,63.85,10.6,10.1
Bosnia and Herzegovina,33029.8904,591.41,543.98,403117,12287.099,16352,498.413,67.2,32.6,12.5
Brazil,41504.50365,700.71,850.43,37717062,17744.244,704659,331.512,72.8,11,19.2
Bulgaria,55478.80878,856.7,697.9,1299930,18700.041,38403,552.443,71.6,37.5,18.5
Canada,243596.7363,5619.42,5083.73,4697504,12446.306,53147,140.816,82.65,10.8,13.4
Chile,75191.14701,1278.18,1369.48,5288807,27666.622,61605,322.266,78.95,25.9,13.4
China,55795.70607,583.43,539.62,99309232,6749.821,121679,8.27,78.35,22.8,12.7
Colombia,31335.82609,85.17,522.55,6380389,12539.36,142942,280.924,72.9,7.4,14.7
Costa Rica,62967.82625,85.17,914.88,1238884,24319.892,9428,185.076,77.1,7.3,12.5
Croatia,80486.91163,1094.53,1040.09,1274834,31414.05,18318,451.386,76.5,37.8,14.2
Denmark,317091.2226,6438.39,6058.83,3416554,58675.821,8811,151.32,81.45,14.4,13.2
Djibouti,14736.29748,62.81,62.31,15690,1588.057,189,19.13,58.05,-,2.6
Dominican Republic,41885.71978,354.1,346.51,667048,6149.092,4384,40.413,72.8,8,14.9
Ecuador,30556.22221,478.53,487.33,1069114,6059.688,36042,204.284,73.9,10.1,9.3
"Egypt, Arab Rep.",17302.14531,150.91,145.31,516023,504.252,24830,24.264,70.25,21.1,12.8
Ethiopia,4469.986503,28.7,26.23,-,-,-,-,65.1,3.4,12
France,205730.8524,4768.73,4508.34,38997490,59959.831,167985,258.282,82.4,33.4,15.9
Germany,241141.8007,5930.33,5478.1,38437756,46217.718,174979,210.395,80.95,19.5,16.3
Ghana,11111.26842,84.98,73.52,0,0,0,0,63.8,2.1,10
Guatemala,24246.14306,289.13,278.55,1271079,7094.829,20236,112.952,69.35,10.1,8.5
Honduras,13143.06938,212.7,184.04,474582,4791.528,11127,112.342,63,-,12.9
Hungary,86572.37772,1163.25,1053.72,2204488,22564.943,48803,499.543,74.55,30.7,16.6
Iceland,343166.1189,5636.94,5865.23,208957,57384.644,186,51.08,83.15,9.6,11.8
India,10564.50958,56.63,60.67,44998162,3260.726,532030,38.553,67.35,6,13.7
Indonesia,21071.72267,132.96,120.59,6813429,2490.984,161918,59.197,67.6,33,3.1
"Iran, Islamic Rep.",18325.02862,573.4,450.6,7614067,9065.126,146336,174.224,74,8.6,21.3
Iraq,26182.01682,202.31,239.58,2465545,6129.767,25375,63.087,70.3,18.1,11
Ireland,449808.6787,6092.18,5431,1719863,34643.646,9209,185.499,82.15,18.2,14.5
Israel,238532.4357,3867.4,3454.47,4837411,55888.026,12670,146.38,82.55,19.3,6.4
Italy,170142.6539,3057.04,2910.63,26007789,43606.875,191469,321.033,82.85,22.4,11.3
Japan,193796.4625,4388.1,4378.77,33803572,26727.165,74694,59.058,84.55,17.6,13.1
Kazakhstan,50364.31838,341.54,270.01,1502857,8003.837,19072,101.573,70.15,19.2,19.4
Kuwait,162396.3115,1532.56,1643.57,666284,15601.754,2570,60.179,79.35,17.4,0.8
Luxembourg,606795.0668,6757,6221.74,383398,61235.122,1000,159.717,82.8,19.2,13.7
Madagascar,2495.615495,17.95,19.35,-,-,-,-,57.3,14.3,8.8
Malaysia,55448.10428,418.66,427.46,5127712,15842.897,37187,114.895,75.05,19.4,3
Mauritania,9815.130265,59.05,60.21,-,-,-,-,59.8,7,3
Mexico,49794.13924,538.57,552.7,7672509,5950.784,334518,259.452,70.5,11.2,15
Morocco,17572.68872,187.4,177.25,1276430,3458.17,16297,44.153,74.15,10.9,21.6
Nepal,6052.346812,58.31,52.83,1003431,3443.86,12031,41.291,68.5,14.6,6.9
Netherlands,271376.8904,5846.15,5340.61,8617412,49503.777,22986,132.046,81.5,19.8,11.4
Nigeria,10784.64231,69.76,69.68,-,-,-,-,52.7,2.3,24.3
Norway,424367.6194,7704.44,8007.36,1488254,27726.722,5653,105.317,83.2,12.6,9.7
Oman,100293.6109,844.62,728.25,399449,7822.171,4628,90.627,72.85,7.4,9.2
Pakistan,7481.896067,38.18,37.22,1580631,715.566,30656,13.878,66.2,12.3,20.3
Panama,78771.15767,1214.55,1318.04,1047321,24272.945,8652,200.521,76.35,3.9,16.2
Philippines,16791.9938,164.74,142.24,4111331,3751.862,66681,60.851,69.35,20.9,19
Poland,83342.45608,1025.98,1014.04,6519948,17176.68,119642,315.195,75.7,21.3,16.4
Portugal,118008.7676,2341.64,2221.73,5610180,54489.409,27247,264.639,81.15,25.5,16.5
Qatar,336291.7863,2188.38,2207.65,514524,17858.887,690,23.95,79.6,9.9,5.7
Romania,69319.11681,809.59,738.56,3429120,17740.953,68296,353.337,73.05,26.5,17.6
Russian Federation,60956.30859,773.88,654,23014969,15770.757,400023,274.111,69.5,25.4,20.8
Saudi Arabia,122576.3046,-,-,841469,2417.051,9646,27.707,77.2,12.8,3
Senegal,7671.677435,76.78,65.75,-,-,-,-,67.05,5.1,3.3
Serbia,41027.2171,672.33,641.03,2547846,36782.944,18057,260.687,72.8,38.6,17.6
Singapore,354698.7347,3537,2826.01,2573565,43989.992,1872,31.998,83.5,16.5,2.8
South Africa,33310.45936,489.64,550.48,-,-,-,-,62.25,19.7,28.9
Spain,146374.5974,2900.65,2712.51,13980340,29536.378,121852,257.438,83.25,25.9,13.7
Sudan,3978.065857,23.39,35.98,63993,145.939,5046,11.508,65.3,-,18
Sweden,276382.8362,6027.97,5652.99,2715809,26296.641,24767,239.814,83.2,13,12
Switzerland,439087.9668,10309.76,9666.98,4411622,50974.197,14052,162.364,83.9,24.9,13.6
Turkiye,47342.20185,395.24,397.41,17004677,20162.278,101419,120.252,76.05,30.4,24.8
Ukraine,19871.57886,269.73,246.91,5518385,12618.136,109904,251.302,69.8,23.5,21.1
United Arab Emirates,227801.0312,2191.81,1947.13,1067030,10788.54,2349,23.75,79.05,-,18.7
United Kingdom,218808.1294,4926.63,4265.2,24715857,36407.883,229307,337.782,80.75,12.4,14.7
United States,338090.4026,11702.41,10661.03,103436829,31249.547,1127152,340.527,76.4,17.4,13.2
Uzbekistan,9407.343513,120.5,98.59,172571,515.611,1016,3.036,70.85,9.7,12.5
Zambia,6325.404684,53.75,67.46,-,-,-,-,61.2,12.3,17
